iter	Passed	Remaining
0	0	67
1	0	59
2	1	55
3	1	53
4	2	54
5	2	52
6	2	51
7	3	50
8	3	49
9	4	48
10	4	48
11	4	47
12	5	47
13	5	46
14	6	45
15	6	44
16	6	44
17	7	44
18	7	43
19	8	43
20	8	42
21	8	42
22	9	41
23	9	41
24	9	41
25	10	40
26	10	40
27	11	39
28	11	39
29	11	38
30	12	38
31	12	38
32	13	37
33	13	37
34	13	36
35	14	36
36	14	35
37	15	35
38	15	35
39	15	34
40	16	34
41	16	34
42	17	34
43	17	33
44	18	33
45	18	33
46	18	32
47	19	32
48	19	31
49	20	31
50	20	31
51	20	30
52	21	30
53	21	29
54	22	29
55	22	29
56	22	28
57	23	28
58	23	27
59	24	27
60	24	26
61	24	26
62	25	26
63	25	25
64	26	25
65	26	24
66	26	24
67	27	24
68	27	23
69	28	23
70	28	22
71	29	22
72	29	22
73	29	21
74	30	21
75	30	20
76	31	20
77	31	20
78	31	19
79	32	19
80	32	18
81	32	18
82	33	18
83	33	17
84	34	17
85	34	16
86	35	16
87	35	16
88	35	15
89	36	15
90	36	14
91	37	14
92	37	14
93	37	13
94	38	13
95	38	12
96	38	12
97	39	11
98	39	11
99	39	11
100	40	10
101	40	10
102	40	9
103	41	9
104	41	9
105	42	8
106	42	8
107	43	7
108	43	7
109	43	7
110	44	6
111	44	6
112	45	5
113	45	5
114	45	5
115	46	4
116	46	4
117	47	3
118	47	3
119	47	3
120	48	2
121	48	2
122	49	1
123	49	1
124	49	1
125	50	0
126	50	0
127	51	0
